trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
29,dummy,c0,42,0.097848581,-0.235007481,0.254564061,44.0,4:5
29,dummy,c0,42,0.050408214,-0.202129931,0.208320659,44.0,4:5
30,dummy,c0,42,0.062584170,-0.262060851,0.269430265,44.0,4:5
30,dummy,c0,42,0.137454570,-0.244360016,0.280366860,44.0,4:5
31,dummy,c0,42,0.090806115,-0.269267470,0.284166713,44.0,4:5
31,dummy,c0,42,0.086624630,-0.200066118,0.218014399,44.0,4:5
32,dummy,c0,42,0.001250321,-0.232991184,0.232994539,44.5,4:5
32,dummy,c0,42,0.063608396,-0.223044676,0.231937396,44.5,4:5
33,dummy,c0,42,0.051018117,-0.199827444,0.206237377,44.4,4:5
33,dummy,c0,42,0.069743311,-0.209539830,0.220841730,44.4,4:5
34,dummy,c0,42,0.068971979,-0.196470639,0.208225469,44.0,4:5
34,dummy,c0,42,0.111137413,-0.317119916,0.336030603,44.0,4:5
35,dummy,c0,42,0.118773832,-0.252066043,0.278647651,44.0,4:5
35,dummy,c0,42,0.093694430,-0.231679729,0.249908270,44.0,4:5
36,dummy,c0,42,0.088935264,-0.222448719,0.239568182,44.1,4:5
36,dummy,c0,42,0.081653776,-0.178487714,0.196278382,44.1,4:5
37,dummy,c0,42,0.103828632,-0.197671086,0.223280638,44.1,4:5
37,dummy,c0,42,0.039607482,-0.209715035,0.213422465,44.1,4:5
38,dummy,c0,42,0.104391551,-0.216617576,0.240459498,44.0,4:5
38,dummy,c0,42,0.087821270,-0.226411343,0.242847013,44.0,4:5
39,dummy,c0,42,0.102932322,-0.248001465,0.268514040,44.1,4:5
39,dummy,c0,42,0.056449964,-0.202913183,0.210618988,44.1,4:5
40,dummy,c0,42,0.058567128,-0.255940043,0.262555545,44.1,4:5
40,dummy,c0,42,0.066904497,-0.194832483,0.205999777,44.1,4:5
41,dummy,c0,42,0.052266046,-0.214629120,0.220901332,44.4,4:5
